label, x, y, x, y, x, y, x, y, x, y, x, y, x, y, x, y, x, y, x, y, x, y, x, y
13, 0.440868, 0.372094, 0.574889, 0.706798, 0.341853, 0.203715, 0.503293, 0.478248, 0.678471, 0.0660075, 0.447689, 0.803751, 0.329935, 0.513408, 0.737074, 0.617888, 0.206597, 0.516015, 0.424092, 0.511417, 0.597138, 0.645599, 0.876438, 0.590291, 
13, 0.440399, 0.43679, 0.62582, 0.772692, 0.295135, 0.241896, 0.525365, 0.550785, 0.680123, 0.0782348, 0.55189, 0.859498, 0.340136, 0.569708, 0.794151, 0.703678, 0.207923, 0.497691, 0.439071, 0.623597, 0.65397, 0.691583, 0.900201, 0.712828, 
13, 0.465996, 0.415365, 0.598005, 0.73587, 0.290141, 0.197085, 0.549199, 0.51864, 0.655981, 0.068704, 0.528923, 0.81076, 0.338858, 0.548891, 0.780509, 0.669363, 0.216543, 0.511151, 0.445425, 0.581772, 0.656675, 0.71531, 0.895151, 0.626827, 
13, 0.457484, 0.371241, 0.587619, 0.72329, 0.342591, 0.211772, 0.528424, 0.469705, 0.627995, 0.0819697, 0.541836, 0.809888, 0.335326, 0.503096, 0.750277, 0.636243, 0.209147, 0.502046, 0.445349, 0.504012, 0.616255, 0.647444, 0.879438, 0.62545, 
13, 0.432344, 0.411823, 0.592014, 0.731227, 0.325628, 0.224084, 0.494701, 0.521523, 0.619834, 0.0710081, 0.563025, 0.800165, 0.327618, 0.537918, 0.787503, 0.669704, 0.211206, 0.548726, 0.416448, 0.529671, 0.644483, 0.674856, 0.897426, 0.665745, 
13, 0.568616, 0.390826, 0.532638, 0.700106, 0.435269, 0.241243, 0.642881, 0.474133, 0.616929, 0.0665953, 0.422201, 0.80891, 0.354326, 0.55506, 0.811037, 0.543643, 0.233333, 0.535698, 0.462317, 0.572341, 0.675733, 0.571095, 0.916698, 0.522206, 
13, 0.542553, 0.38216, 0.552983, 0.686705, 0.403959, 0.241396, 0.622775, 0.463638, 0.644297, 0.0744393, 0.432105, 0.783042, 0.356445, 0.527768, 0.797863, 0.553846, 0.231429, 0.506916, 0.458275, 0.544753, 0.675244, 0.581977, 0.88849, 0.533054, 
13, 0.525424, 0.391853, 0.55986, 0.689138, 0.378979, 0.244334, 0.613326, 0.480401, 0.626344, 0.0684067, 0.475855, 0.770871, 0.358579, 0.526749, 0.778122, 0.593098, 0.230582, 0.516014, 0.454333, 0.53478, 0.673703, 0.627697, 0.894971, 0.554381, 
14, 0.372881, 0.374167, 0.541978, 0.782083, 0.170303, 0.167359, 0.542308, 0.547132, 0.540418, 0.0726721, 0.543706, 0.864236, 0.234285, 0.543331, 0.757308, 0.735842, 0.111296, 0.48714, 0.377162, 0.608608, 0.626316, 0.72879, 0.877215, 0.742298, 
14, 0.367351, 0.371628, 0.523096, 0.800446, 0.204117, 0.172613, 0.517162, 0.554278, 0.551437, 0.0776109, 0.494239, 0.885639, 0.235255, 0.559775, 0.747229, 0.738797, 0.113257, 0.5182, 0.386166, 0.611203, 0.613245, 0.751216, 0.895569, 0.725047, 
14, 0.401863, 0.378988, 0.551061, 0.817503, 0.193065, 0.180355, 0.588312, 0.556359, 0.558717, 0.0822217, 0.542829, 0.89624, 0.271806, 0.578404, 0.780118, 0.764978, 0.142349, 0.519769, 0.428306, 0.649286, 0.648492, 0.788437, 0.872343, 0.748541, 
14, 0.424808, 0.399443, 0.595106, 0.794191, 0.265551, 0.205334, 0.563253, 0.568186, 0.608907, 0.0759255, 0.581477, 0.864448, 0.298031, 0.557646, 0.804083, 0.751354, 0.159433, 0.534251, 0.446982, 0.582788, 0.687154, 0.785604, 0.905004, 0.721792, 
14, 0.41376, 0.389867, 0.564818, 0.793001, 0.243201, 0.190287, 0.557243, 0.557764, 0.556216, 0.0749539, 0.573395, 0.870475, 0.279298, 0.559473, 0.778838, 0.736458, 0.146169, 0.516218, 0.438024, 0.611046, 0.664338, 0.727142, 0.871628, 0.744008, 
14, 0.300499, 0.364535, 0.549045, 0.827842, 0.199353, 0.196423, 0.421198, 0.565143, 0.579925, 0.0864991, 0.515545, 0.901796, 0.246302, 0.579981, 0.740198, 0.79158, 0.137988, 0.517213, 0.398205, 0.66801, 0.588333, 0.797863, 0.890922, 0.785345, 
14, 0.407504, 0.319863, 0.549037, 0.765186, 0.193591, 0.133423, 0.624629, 0.509102, 0.576106, 0.0800797, 0.518316, 0.85284, 0.269853, 0.526502, 0.78511, 0.706129, 0.149448, 0.464078, 0.416941, 0.602758, 0.657641, 0.74784, 0.902824, 0.667611, 
14, 0.24437, 0.362859, 0.58097, 0.826135, 0.156956, 0.167378, 0.324549, 0.542164, 0.61058, 0.0876233, 0.54868, 0.906354, 0.237037, 0.544511, 0.744814, 0.812852, 0.137466, 0.46235, 0.375604, 0.658849, 0.617913, 0.825555, 0.855594, 0.801763, 
14, 0.263289, 0.440707, 0.575234, 0.850664, 0.122136, 0.215602, 0.372351, 0.614636, 0.604368, 0.077834, 0.548033, 0.910044, 0.251296, 0.609764, 0.744089, 0.834488, 0.146896, 0.491729, 0.37962, 0.754846, 0.609101, 0.853948, 0.874781, 0.815647, 
14, 0.276828, 0.352734, 0.552601, 0.816319, 0.111687, 0.129994, 0.424317, 0.551664, 0.579372, 0.0855072, 0.525807, 0.894325, 0.199929, 0.540196, 0.680321, 0.751609, 0.124797, 0.356602, 0.307284, 0.802529, 0.541895, 0.729275, 0.824641, 0.774895, 
